channel,group,active_weight,active_weight_percent,active_rows,total_active_weight,color
结构化医患对话,可解释声学,0.202608,38.525369456254715,17,0.5259079999999999,#4a8f84
结构化医患对话,低解释声学/谱特征,0.003980000000000001,0.7567863580702331,73,0.5259079999999999,#9aa7b7
结构化医患对话,语言/文本,0.23094,43.91262350068834,8,0.5259079999999999,#7b5ea7
结构化医患对话,互动/任务,0.08838,16.80522068498673,2,0.5259079999999999,#c17a3f
图片描述,可解释声学,0.279369,48.544713356316706,32,0.5754880000000002,#4a8f84
图片描述,低解释声学/谱特征,0.012199999999999999,2.1199399466192164,146,0.5754880000000002,#9aa7b7
图片描述,语言/文本,0.28391900000000003,49.33534669706404,9,0.5754880000000002,#7b5ea7
图片描述,互动/任务,0.0,0.0,0,0.5754880000000002,#c17a3f
疾病进展语音,可解释声学,0.21921799999999997,96.35617209065173,17,0.22750800000000004,#4a8f84
疾病进展语音,低解释声学/谱特征,0.00829,3.643827909348242,73,0.22750800000000004,#9aa7b7
疾病进展语音,语言/文本,0.0,0.0,0,0.22750800000000004,#7b5ea7
疾病进展语音,互动/任务,0.0,0.0,0,0.22750800000000004,#c17a3f
TalkBank/DementiaBank,可解释声学,0.0,0.0,0,0.4727,#4a8f84
TalkBank/DementiaBank,低解释声学/谱特征,0.0,0.0,0,0.4727,#9aa7b7
TalkBank/DementiaBank,语言/文本,0.4455,94.24582187433892,9,0.4727,#7b5ea7
TalkBank/DementiaBank,互动/任务,0.027200000000000002,5.754178125661096,2,0.4727,#c17a3f
公开视频,可解释声学,0.07022,27.50058745202475,7,0.25534,#4a8f84
公开视频,低解释声学/谱特征,0.003980000000000001,1.5587060390068148,73,0.25534,#9aa7b7
公开视频,语言/文本,0.18114,70.94070650896843,5,0.25534,#7b5ea7
公开视频,互动/任务,0.0,0.0,0,0.25534,#c17a3f
